date,time,dt0,enddate,endtime,angle,width,speed,speedsigma,min_speed,max_speed,type,quality
2010/09/11,02:24:05.505,1,2010/09/11,06:36:06.534,20,58,431,147,293,718,CME,1
2010/09/11,04:25:17.723,2,2010/09/11,05:24:06.383,267,20,431,95,250,480,CME,1
2010/09/11,04:48:06.007,1,2010/09/11,06:36:06.534,20,10,446,46,381,508,CME,1
2010/09/11,05:12:05.592,2,2010/09/11,05:24:06.383,66,22,318,95,192,419,CME,1
2010/09/11,07:12:06.110,0,2010/09/11,09:24:21.220,178,18,220,113,138,394,CME,1
2010/09/11,09:48:05.404,1,2010/09/11,11:00:05.655,103,8,141,2,139,144,CME,1
2010/09/11,17:00:05.511,2,2010/09/11,19:48:05.597,118,74,424,108,339,672,CME,1
2010/09/12,06:00:05.648,1,2010/09/12,08:00:05.600,306,22,492,77,413,657,CME,1
2010/09/12,06:12:05.648,0,2010/09/12,08:48:05.467,299,12,430,61,393,553,CME,1
2010/09/13,03:24:05.648,5,2010/09/13,06:12:05.595,307,56,138,2,135,143,CME,1
2010/09/13,09:36:05.555,3,2010/09/13,11:48:05.465,324,22,140,65,103,301,CME,1
2010/09/13,09:48:05.447,1,2010/09/13,10:00:05.639,286,30,137,5,134,152,CME,1
2010/09/14,03:24:05.714,3,2010/09/14,05:48:05.416,268,26,139,1,137,141,CME,1
2010/09/14,03:24:05.714,1,2010/09/14,05:36:05.625,338,6,212,77,139,304,CME,1
2010/09/14,07:48:05.535,2,2010/09/14,10:24:06.029,108,34,372,162,123,672,CME,1
2010/09/14,08:36:06.702,6,2010/09/14,12:24:05.448,285,72,199,57,136,306,CME,1
2010/09/14,14:00:07.182,2,2010/09/14,14:12:07.074,300,54,558,154,138,735,CME,1
2010/09/15,03:24:05.634,2,2010/09/15,05:00:07.077,304,18,362,60,268,425,CME,1
2010/09/15,13:36:16.219,4,2010/09/15,17:48:05.547,303,72,226,53,135,336,CME,1
2010/09/17,07:00:05.603,1,2010/09/17,10:00:05.681,89,28,305,5,299,316,CME,1
2010/09/22,04:24:05.540,2,2010/09/22,07:36:05.410,77,96,419,68,297,573,CME,1
2010/09/22,16:36:06.543,3,2010/09/22,20:00:06.608,325,52,488,83,398,679,CME,1
2010/09/26,23:16:14.214,7,2010/09/27,04:12:05.713,105,36,257,87,136,408,CME,1
2010/09/27,21:27:57.690,1,2010/09/27,23:16:14.522,233,16,274,103,141,435,CME,1
2010/09/28,03:24:05.448,0,2010/09/28,04:48:05.663,236,18,328,113,125,443,CME,1
2010/09/28,04:24:05.507,1,2010/09/28,05:36:05.774,96,14,176,105,104,419,CME,1
2010/09/28,06:00:05.642,0,2010/09/28,08:12:07.453,304,10,454,60,412,578,CME,1
2010/09/28,16:00:05.735,1,2010/09/28,18:36:05.429,268,26,543,86,416,710,CME,1
2010/09/29,10:00:05.702,2,2010/09/29,12:12:05.513,38,26,139,2,132,143,CME,1
2010/09/30,23:05:34.695,5,2010/10/01,04:48:05.663,346,86,355,64,243,529,CME,1
2010/10/01,02:24:05.460,1,2010/10/01,03:24:06.020,321,8,202,7,197,215,CME,1
2010/10/01,10:36:05.927,1,2010/10/01,12:12:06.262,49,8,139,1,137,141,CME,1
2010/10/02,12:36:06.969,1,2010/10/02,16:00:05.432,155,16,336,16,301,351,CME,1
2010/10/06,07:12:05.754,3,2010/10/06,11:12:05.591,45,68,209,4,197,220,CME,1
2010/10/07,08:48:05.613,5,2010/10/07,14:24:05.584,307,72,436,78,299,625,CME,1
2010/10/07,10:48:06.432,1,2010/10/07,14:24:05.584,246,22,390,38,339,462,CME,1
2010/10/08,12:36:05.468,6,2010/10/08,17:48:05.756,250,86,139,36,100,233,CME,1
2010/10/10,18:48:05.563,1,2010/10/10,22:36:05.708,41,28,442,122,367,709,CME,1
2010/10/10,19:00:06.654,2,2010/10/10,21:38:29.747,44,26,483,140,144,595,CME,1
2010/10/10,23:16:13.380,4,2010/10/11,03:24:06.112,101,76,229,54,139,323,CME,1
2010/10/13,16:36:05.412,3,2010/10/13,20:48:05.440,66,30,525,195,374,877,CME,1
2010/10/13,16:48:05.604,0,2010/10/13,17:00:05.495,270,6,135,1,132,136,CME,1
2010/10/13,23:16:14.240,1,2010/10/14,03:12:08.880,76,6,359,64,259,413,CME,1
2010/10/14,15:48:05.866,4,2010/10/14,17:24:05.702,282,34,140,1,137,142,CME,1
2010/10/14,17:36:06.793,0,2010/10/14,19:36:05.412,52,14,419,82,275,534,CME,1
2010/10/15,16:48:05.624,1,2010/10/15,18:24:05.758,243,12,141,2,137,143,CME,1
2010/10/16,04:13:52.158,2,2010/10/16,07:28:35.127,304,18,306,74,162,425,CME,1
2010/10/16,20:12:06.109,0,2010/10/16,22:00:05.536,271,12,367,207,254,781,CME,1
2010/10/17,01:36:22.089,1,2010/10/17,03:12:10.524,263,20,140,3,138,147,CME,1
2010/10/17,04:36:05.567,0,2010/10/17,07:00:05.870,270,6,381,67,259,422,CME,1
2010/10/17,09:24:07.672,5,2010/10/17,14:00:05.884,40,146,228,88,132,434,CME,1
2010/10/18,16:00:05.627,2,2010/10/18,19:12:05.641,232,34,716,647,134,1857,CME,1
2010/10/19,07:24:06.045,1,2010/10/19,10:12:05.432,271,40,381,58,252,449,CME,1
2010/10/19,21:49:02.859,1,2010/10/20,00:48:06.239,315,12,398,47,318,449,CME,1
2010/10/20,12:24:06.867,1,2010/10/20,14:24:06.987,279,16,359,27,343,408,CME,1
2010/10/21,23:05:34.400,5,2010/10/22,03:12:08.833,312,78,512,105,336,710,CME,1
2010/10/22,00:00:06.964,1,2010/10/22,03:36:05.518,237,16,664,264,516,1331,CME,1
2010/10/22,00:24:05.547,2,2010/10/22,01:25:49.505,241,40,521,122,231,625,CME,1
2010/10/22,01:36:24.199,1,2010/10/22,04:12:05.993,252,22,564,489,252,1644,CME,1
2010/10/22,01:48:06.391,0,2010/10/22,04:24:05.484,247,8,183,266,117,710,CME,1
2010/10/23,05:25:56.567,1,2010/10/23,08:00:05.563,281,44,213,139,102,501,CME,1
2010/10/26,07:24:05.470,1,2010/10/26,08:48:05.413,48,14,510,25,484,558,CME,1
2010/10/26,11:24:05.808,5,2010/10/26,16:48:05.689,318,30,593,159,282,771,CME,1
2010/10/26,11:36:05.700,1,2010/10/26,14:24:05.687,237,12,255,143,139,553,CME,1
2010/10/26,12:36:05.359,1,2010/10/26,15:36:06.038,240,10,234,487,137,1301,CME,1
2010/10/26,14:12:05.395,1,2010/10/26,16:36:05.397,306,10,1018,343,637,1644,CME,1
2010/10/27,08:12:05.466,0,2010/10/27,08:48:05.742,9,8,179,6,168,186,CME,1
2010/10/27,23:42:05.639,1,2010/10/27,23:42:05.639,2,18,514,83,431,657,CME,1
2010/10/28,10:12:05.514,2,2010/10/28,13:36:05.676,327,12,469,262,279,976,CME,1
2010/10/28,12:36:05.417,1,2010/10/28,14:48:05.428,82,6,320,302,244,919,CME,1
2010/10/28,13:25:24.784,3,2010/10/28,16:24:06.163,245,72,282,22,231,301,CME,1
2010/10/28,14:00:05.460,0,2010/10/28,16:24:06.163,260,6,262,713,257,1689,CME,1
2010/10/29,14:12:05.379,1,2010/10/29,15:36:07.123,211,8,140,17,109,153,CME,1
2010/10/30,22:12:05.709,6,2010/10/31,02:48:06.319,253,60,406,46,287,449,CME,1
2010/11/03,09:12:08.871,1,2010/11/03,11:00:07.996,341,8,961,342,702,1602,CME,1
2010/11/03,12:36:06.230,8,2010/11/03,14:48:05.439,103,68,140,0,139,142,CME,1
2010/11/04,19:24:05.760,0,2010/11/04,19:36:05.452,254,22,1644,30,1644,1689,CME,1
2010/11/05,11:48:05.583,0,2010/11/05,12:12:06.267,348,14,1689,57,1562,1736,CME,1
2010/11/06,16:48:06.304,1,2010/11/06,18:48:07.622,115,16,206,58,116,225,CME,1
2010/11/08,21:38:45.226,1,2010/11/08,22:36:06.586,29,16,330,108,148,475,CME,1
2010/11/09,23:48:06.048,1,2010/11/10,02:36:05.833,300,10,140,5,129,146,CME,1
2010/11/10,00:36:05.516,0,2010/11/10,02:48:05.625,272,10,134,7,124,141,CME,1
2010/11/10,09:36:05.447,1,2010/11/10,11:24:05.674,359,8,141,63,138,250,CME,1
2010/11/10,13:36:06.085,0,2010/11/10,13:36:06.085,287,8,208,6,195,211,CME,1
2010/11/10,14:36:05.444,1,2010/11/10,16:48:05.555,128,14,382,83,233,437,CME,1
2010/11/11,00:24:07.046,1,2010/11/11,02:48:05.849,284,18,137,9,119,153,CME,1
2010/11/11,00:24:07.046,2,2010/11/11,03:12:10.032,283,24,139,2,137,144,CME,1
2010/11/11,08:12:05.830,1,2010/11/11,11:00:05.516,165,20,201,20,188,241,CME,1
2010/11/11,11:00:05.516,0,2010/11/11,11:00:05.516,278,6,215,7,208,225,CME,1
2010/11/11,14:00:05.494,1,2010/11/11,15:12:08.745,172,14,139,9,122,155,CME,1
2010/11/11,17:00:06.672,1,2010/11/11,18:36:05.507,156,90,418,61,325,553,CME,1
2010/11/12,02:24:05.391,1,2010/11/12,04:12:05.519,179,44,163,86,136,375,CME,1
2010/11/12,15:12:08.672,1,2010/11/12,17:00:05.699,113,20,456,21,428,492,CME,1
2010/11/13,12:12:05.381,0,2010/11/13,12:36:05.464,157,8,137,8,132,153,CME,1
2010/11/14,00:24:05.386,1,2010/11/14,02:48:05.989,246,30,412,26,349,446,CME,1
2010/11/14,15:36:05.369,0,2010/11/14,17:24:06.997,125,12,548,181,138,637,CME,1
2010/11/15,21:24:06.004,1,2010/11/15,22:36:05.511,136,10,1317,104,1250,1524,CME,1
2010/11/19,00:00:07.487,4,2010/11/19,05:24:06.669,125,60,416,9,393,434,CME,1
2010/11/21,18:23:56.600,1,2010/11/21,18:45:40.870,243,12,188,40,141,244,CME,1
2010/11/22,05:29:36.446,1,2010/11/22,07:40:34.458,254,30,482,24,452,532,CME,1
2010/11/23,08:36:05.649,3,2010/11/23,12:48:05.377,36,70,365,70,227,488,CME,1
2010/11/23,08:48:05.440,1,2010/11/23,11:24:05.434,91,8,325,69,288,449,CME,1
2010/11/24,03:48:06.262,5,2010/11/24,07:12:05.623,236,98,237,59,132,323,CME,1
2010/11/24,05:36:05.388,2,2010/11/24,07:12:05.623,257,16,409,10,398,427,CME,1
2010/11/24,08:00:05.490,1,2010/11/24,10:48:05.475,336,18,416,57,309,496,CME,1
2010/11/24,08:36:05.466,1,2010/11/24,10:12:05.400,83,28,139,183,103,637,CME,1
2010/11/24,13:48:05.453,0,2010/11/24,16:24:05.446,84,10,394,89,241,425,CME,1
2010/11/24,23:16:37.063,0,2010/11/25,00:48:06.101,351,12,603,114,541,817,CME,1
2010/11/24,23:16:37.063,1,2010/11/25,00:48:06.101,354,22,589,256,208,880,CME,1
2010/11/25,06:12:06.078,0,2010/11/25,07:48:07.012,0,10,408,71,334,520,CME,1
2010/11/25,16:36:05.649,6,2010/11/25,19:12:06.441,219,140,208,72,134,361,CME,1
2010/11/25,18:36:06.466,2,2010/11/25,21:17:41.755,224,22,428,18,413,473,CME,1
2010/11/25,19:24:05.433,3,2010/11/25,22:36:05.501,146,102,149,26,134,233,CME,1
2010/11/25,21:17:41.755,0,2010/11/25,23:48:21.052,119,16,560,291,138,886,CME,1
2010/11/25,21:17:41.755,0,2010/11/26,00:12:05.436,113,8,608,86,459,686,CME,1
2010/11/25,22:00:07.029,1,2010/11/26,01:36:19.077,264,18,149,748,139,1734,CME,1
2010/11/25,22:00:07.029,0,2010/11/26,01:36:19.077,266,6,1266,407,573,1602,CME,1
2010/11/26,07:24:06.139,4,2010/11/26,11:24:05.474,125,124,391,41,314,488,CME,1
2010/11/28,09:12:08.704,1,2010/11/28,11:12:06.621,57,28,408,90,241,584,CME,1
2010/11/28,09:36:05.387,1,2010/11/28,12:00:05.488,56,18,382,128,253,612,CME,1
2010/11/28,23:06:00.730,1,2010/11/29,00:48:05.560,34,6,261,183,160,612,CME,1
2010/11/29,01:25:44.634,1,2010/11/29,02:36:05.486,33,16,141,2,136,141,CME,1
2010/11/29,02:24:05.394,1,2010/11/29,02:36:05.486,20,18,141,0,141,142,CME,1
2010/11/29,05:36:05.762,0,2010/11/29,07:36:06.180,53,24,658,472,452,1838,CME,1
2010/11/29,06:00:05.445,1,2010/11/29,07:36:06.180,82,6,463,27,419,484,CME,1
2010/11/29,14:24:05.799,5,2010/11/29,20:24:07.256,262,70,351,39,274,419,CME,1
2010/11/29,19:12:05.501,0,2010/11/29,19:48:05.476,277,8,256,34,254,318,CME,1
2010/11/29,19:36:07.084,1,2010/11/29,22:12:05.777,92,26,425,11,400,425,CME,1
2010/11/30,19:48:05.615,2,2010/11/30,22:36:05.511,81,84,282,208,225,791,CME,1
2010/12/01,04:48:06.245,1,2010/12/01,06:36:07.471,83,16,341,68,174,408,CME,1
2010/12/02,11:12:05.894,2,2010/12/02,15:12:10.511,286,98,326,43,239,419,CME,1
2010/12/02,22:00:06.750,0,2010/12/02,23:37:45.183,164,6,390,112,309,589,CME,1
2010/12/03,07:36:36.654,0,2010/12/03,10:48:06.222,29,12,520,60,423,589,CME,1
2010/12/03,11:36:06.889,0,2010/12/03,14:00:05.490,10,10,404,168,301,744,CME,1
2010/12/03,12:12:07.564,1,2010/12/03,14:48:05.457,4,10,522,168,309,744,CME,1
2010/12/03,15:48:06.416,1,2010/12/03,18:24:05.413,35,32,274,116,127,437,CME,1
2010/12/03,19:24:07.568,1,2010/12/03,22:00:23.061,271,12,686,38,600,686,CME,1
2010/12/04,02:45:56.870,1,2010/12/04,06:12:11.228,8,10,222,29,177,266,CME,1
2010/12/05,00:00:05.495,3,2010/12/05,00:00:05.495,261,84,241,65,104,369,CME,1
2010/12/06,13:48:07.437,2,2010/12/06,17:36:05.780,278,42,320,73,207,419,CME,1
2010/12/06,18:00:07.867,6,2010/12/06,22:36:05.573,130,82,523,86,280,684,CME,1
2010/12/06,19:48:05.589,0,2010/12/06,22:36:05.573,162,14,405,411,172,1201,CME,1
2010/12/07,08:48:05.854,3,2010/12/07,08:48:05.854,276,58,140,2,136,142,CME,1
2010/12/07,11:24:05.846,2,2010/12/07,15:12:10.790,288,38,292,41,207,347,CME,1
2010/12/07,12:12:05.414,1,2010/12/07,15:53:18.898,295,16,225,97,138,367,CME,1
2010/12/08,11:24:07.695,4,2010/12/08,16:24:05.588,62,42,422,53,312,517,CME,1
2010/12/08,12:48:05.737,1,2010/12/08,15:12:10.438,81,20,413,293,140,1024,CME,1
2010/12/10,07:12:05.640,2,2010/12/10,09:48:05.529,296,46,412,9,400,440,CME,1
2010/12/11,11:12:05.482,0,2010/12/11,12:24:05.534,9,8,138,1,137,140,CME,1
2010/12/11,15:48:05.494,1,2010/12/11,18:12:05.395,236,18,1761,497,504,2015,CME,1
2010/12/12,03:24:05.515,4,2010/12/12,07:00:05.766,259,76,624,47,538,694,CME,1
2010/12/12,06:00:07.308,6,2010/12/12,10:12:37.435,66,146,361,77,209,558,CME,1
2010/12/12,11:36:05.577,2,2010/12/12,12:12:06.353,102,62,612,171,236,694,CME,1
2010/12/12,13:36:24.302,3,2010/12/12,16:48:07.462,234,22,336,17,297,365,CME,1
2010/12/12,14:36:05.753,1,2010/12/12,14:48:05.445,287,8,245,36,229,318,CME,1
2010/12/12,15:48:05.604,1,2010/12/12,17:48:05.521,287,12,377,45,294,425,CME,1
2010/12/12,23:05:57.303,1,2010/12/13,00:48:06.132,106,6,450,32,393,469,CME,1
2010/12/13,01:36:18.899,1,2010/12/13,03:12:09.734,92,18,497,373,365,1276,CME,1
2010/12/13,17:24:05.509,1,2010/12/13,18:48:05.551,276,14,335,102,208,437,CME,1
2010/12/14,15:48:05.487,3,2010/12/14,18:36:06.472,340,118,731,149,363,946,CME,1
2010/12/14,16:48:06.746,2,2010/12/14,18:36:06.472,228,26,422,64,339,558,CME,1
2010/12/14,16:48:06.746,4,2010/12/14,20:00:06.214,89,104,452,154,140,946,CME,1
2010/12/14,16:48:06.746,1,2010/12/14,18:48:05.664,187,56,1644,691,139,2016,CME,1
2010/12/14,16:48:06.746,0,2010/12/14,18:36:06.472,244,10,356,666,290,1785,CME,1
2010/12/14,17:12:05.830,1,2010/12/14,18:36:06.472,285,8,143,114,140,372,CME,1
2010/12/14,23:12:05.383,1,2010/12/15,01:48:05.476,41,8,390,160,136,419,CME,1
2010/12/15,05:36:06.020,1,2010/12/15,07:36:05.438,66,14,244,78,206,440,CME,1
2010/12/15,05:36:06.020,2,2010/12/15,08:48:05.488,74,22,410,38,330,459,CME,1
2010/12/15,13:36:20.490,3,2010/12/15,14:12:06.166,218,34,139,1,135,141,CME,1
2010/12/15,15:12:08.924,1,2010/12/15,17:12:05.942,321,32,371,58,285,466,CME,1
2010/12/15,23:24:14.187,0,2010/12/16,00:12:06.154,82,6,142,39,139,221,CME,1
2010/12/16,01:25:49.404,1,2010/12/16,02:00:05.580,82,10,980,550,140,1453,CME,1
2010/12/16,09:12:10.186,2,2010/12/16,11:36:06.185,335,68,425,46,347,543,CME,1
2010/12/16,15:04:22.512,1,2010/12/16,15:13:29.005,344,10,330,33,271,355,CME,1
2010/12/17,02:48:06.529,1,2010/12/17,04:36:05.455,288,6,415,609,138,1602,CME,1
2010/12/17,03:24:06.604,0,2010/12/17,05:12:06.130,292,6,571,199,419,932,CME,1
2010/12/17,23:05:58.593,1,2010/12/18,01:36:18.790,289,8,184,106,139,381,CME,1
2010/12/18,00:48:07.323,1,2010/12/18,05:48:05.417,278,6,428,38,363,443,CME,1
2010/12/18,06:24:05.393,1,2010/12/18,08:48:28.793,107,32,252,38,204,320,CME,1
2010/12/19,04:00:06.203,1,2010/12/19,06:48:06.387,308,22,486,96,359,694,CME,1
2010/12/20,08:36:05.424,3,2010/12/20,11:00:06.326,62,62,139,47,135,262,CME,1
2010/12/20,16:36:07.517,7,2010/12/20,17:48:06.068,79,32,273,81,135,363,CME,1
2010/12/21,02:48:05.498,3,2010/12/21,06:48:05.533,65,88,289,54,141,419,CME,1
2010/12/21,11:48:05.527,1,2010/12/21,12:48:05.586,73,20,339,109,142,449,CME,1
2010/12/21,23:24:14.452,0,2010/12/22,02:00:05.442,82,18,416,154,144,496,CME,1
2010/12/22,03:24:05.493,1,2010/12/22,05:00:05.520,348,6,227,96,136,343,CME,1
2010/12/22,03:48:07.468,1,2010/12/22,05:48:05.487,349,20,141,108,132,351,CME,1
2010/12/23,07:12:05.542,4,2010/12/23,10:12:06.218,245,88,243,32,140,289,CME,1
2010/12/24,07:48:05.544,1,2010/12/24,10:12:05.545,266,34,142,79,136,320,CME,1
2010/12/25,11:36:05.899,1,2010/12/25,13:48:05.408,266,22,141,1,139,144,CME,1
2010/12/25,14:12:06.892,3,2010/12/25,17:12:05.868,97,52,405,143,138,525,CME,1
2010/12/25,14:12:06.892,1,2010/12/25,17:12:05.868,94,34,288,99,136,431,CME,1
2010/12/26,03:24:05.448,5,2010/12/26,08:48:06.826,151,120,332,83,150,452,CME,1
2010/12/28,21:36:05.459,2,2010/12/29,00:48:05.428,67,52,209,130,136,606,CME,1
2010/12/28,22:12:06.835,0,2010/12/29,00:12:06.553,90,14,142,1,139,142,CME,1
2010/12/28,22:36:05.818,1,2010/12/29,00:24:06.145,86,22,140,0,140,141,CME,1
2010/12/28,23:36:05.577,1,2010/12/29,02:12:06.671,68,14,262,58,144,341,CME,1
2010/12/29,07:48:05.542,2,2010/12/29,16:36:05.480,306,42,343,110,155,425,CME,1
2010/12/29,15:12:09.837,1,2010/12/29,16:12:05.596,119,16,637,630,363,1838,CME,1
2010/12/29,21:36:05.474,1,2010/12/30,00:48:05.442,10,14,422,49,339,496,CME,1
2010/12/29,23:12:06.108,2,2010/12/30,00:00:05.875,293,16,386,17,359,405,CME,1
2010/12/30,05:12:05.662,1,2010/12/30,05:12:05.662,286,14,136,1,132,137,CME,1
2010/12/30,10:12:05.457,6,2010/12/30,12:48:05.550,287,64,136,1,134,139,CME,1
2010/12/30,11:24:05.407,1,2010/12/30,14:48:05.567,286,14,136,1,135,138,CME,1
2010/12/30,18:48:06.403,6,2010/12/31,00:00:05.709,63,72,367,101,292,631,CME,1
2010/12/31,05:12:06.696,1,2010/12/31,07:00:05.422,284,26,238,15,197,247,CME,1
2010/12/31,05:12:06.696,1,2010/12/31,08:12:05.473,288,22,364,57,236,424,CME,1
2010/12/31,07:36:05.497,3,2010/12/31,11:24:05.541,32,38,311,56,243,434,CME,1
2010/12/31,23:24:12.846,4,2011/01/01,00:48:05.588,230,74,1420,118,1222,1562,CME,1
2010/12/31,23:36:05.438,1,2011/01/01,00:48:05.588,353,60,1286,36,1179,1298,CME,1
2011/01/01,13:36:21.962,3,2011/01/01,14:00:05.453,167,40,1761,68,1602,1838,CME,1
2011/01/01,13:36:21.962,0,2011/01/01,14:12:05.537,117,12,753,57,664,822,CME,1
2011/01/02,05:12:06.320,2,2011/01/02,05:24:05.511,263,28,136,4,126,141,CME,1
2011/01/02,15:48:06.783,5,2011/01/02,20:24:07.394,264,86,264,116,132,488,CME,1
2011/01/03,02:24:06.146,1,2011/01/03,03:48:05.489,132,18,1289,70,1201,1420,CME,1
2011/01/03,02:48:05.430,0,2011/01/03,03:36:05.597,156,18,1289,73,1225,1420,CME,1
